,Urban_DBT_C,Rural_DBT_C,Rural_Pres_Pa,MeteoData.Pre,sensWaste_CAPITOUL_WithShading_WithCooling_7_OnlyVCWG_Bueno.csv,MeteoData.Tatm,7_TempProf_cur[20.0],7_PresProf_cur[20.0],7_sensor_idx_20.0
2004-07-01 17:00:00,23.028,23.302,99446.0,99924.0,122.846,23.400000000000034,297.26,100462.842,24.567572407742546
2004-07-01 17:05:00,23.166,23.322,99438.0,99924.25,122.689,23.391999999999996,297.286,100462.813,24.593374800224694
2004-07-01 17:10:00,23.266,23.818,99436.0,99924.5,107.317,23.383000000000038,297.204,100462.776,24.51100430096818
2004-07-01 17:15:00,23.298,23.328,99444.0,99924.75,105.194,23.375,297.055,100462.849,24.36162413384028
2004-07-01 17:20:00,23.578,23.092,99446.0,99925.0,104.485,23.36700000000002,297.024,100462.868,24.33037971372056
2004-07-01 17:25:00,23.294,22.74,99448.0,99925.25,104.811,23.358000000000004,297.035,100462.866,24.34118205584207
2004-07-01 17:30:00,23.130000000000003,22.78,99444.0,99925.5,104.366,23.350000000000023,297.039,100462.863,24.344972790401357
2004-07-01 17:35:00,23.22,22.856,99440.0,99925.75,109.248,23.34200000000004,297.312,100462.746,24.61807961892555
2004-07-01 17:40:00,23.03,22.962,99450.0,99926.0,112.847,23.333000000000027,297.597,100462.629,24.903204270294168
2004-07-01 17:45:00,23.154,22.948,99448.0,99926.25,113.17,23.325000000000045,297.682,100462.562,24.98806437929767
2004-07-01 17:50:00,23.096,22.872,99442.0,99926.5,112.5,23.317000000000007,297.633,100462.558,24.938772623716602
2004-07-01 17:55:00,23.124,22.916,99446.0,99926.75,124.139,23.30800000000005,297.568,100462.584,24.873481903311244
